_Nb Properties (Expression),Amenities,Bathrooms,Bedrooms,City,Country,Date,Latitude,Longitude,Main Date: Month,Main Date: Month (Display),Main Date: Year,Profile,Property,Property Id,Property Type,Zip Code,_Max Theoretical Revenue (Expression),_Total Expenses (Expression),_Total Revenue (Expression),Expenses % ,Expenses %   MTD   (Current Month),Expenses %   MTD   (Previous Month),Gross Rental Yield,Gross Rental Yield  MTD   (Current Month),Gross Rental Yield  MTD   (Previous Month),Gross Rental Yield  MTD  (Previous Year),Gross Rental Yield  YTD  (Current Year),Indicator,Living Space,Max Theoretical Revenue,Monthly Expenses,Monthly Rent,Monthly Revenue,Nb Properties,Net Rental Yield,Net Rental Yield  MTD   (Current Month),Net Rental Yield  MTD   (Previous Month),Net Rental Yield  MTD  (Previous Year),Net Rental Yield  YTD  (Current Year),Net Rental Yield  YTD  (Previous Year),Net Rental Yield Perf. -  Value,Net Rental Yield Perf. - Reference,Net Rental Yield Perf. - Value vs Reference,Net Rental Yield Perf. - Value vs Reference %,Net Rental Yield Perf. - Value vs Reference (pt),Net Rental Yield Perf. - Value vs Reference (shape),Net Revenue,Net Revenue  MTD   (Current Month),Net Revenue  MTD   (Previous Month),Net Revenue  MTD  (Previous Year),Net Revenue  YTD  (Current Year),Net Revenue  YTD  (Previous Year),Net Revenue Perf. -  Value,Net Revenue Perf. - Reference,Net Revenue Perf. - Value vs Reference,Net Revenue Perf. - Value vs Reference %,Net Revenue Perf. - Value vs Reference (shape),Occupancy Rate,Placeholder (num),Property Class Yield ,Property Cost,Total Expenses,Total Expenses  MTD   (Current Month),Total Expenses  MTD   (Previous Month),Total Expenses  MTD  (Previous Year),Total Expenses  YTD  (Current Year),Total Expenses  YTD  (Previous Year),Total Expenses Perf. -  Value,Total Expenses Perf. - Reference,Total Expenses Perf. - Value vs Reference,Total Expenses Perf. - Value vs Reference %,Total Expenses Perf. - Value vs Reference (shape),Total Revenue,Total Revenue  MTD   (Current Month),Total Revenue  MTD   (Previous Month),Total Revenue  MTD  (Previous Year),Total Revenue  YTD  (Current Year),Total Revenue  YTD  (Previous Year),Total Revenue Perf. -  Value,Total Revenue Perf. - Reference,Total Revenue Perf. - Value vs Reference
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,5/1/2021,37.67834754,-122.4902899,5,May,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,6/1/2021,37.67834754,-122.4902899,6,Jun,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,7/1/2021,37.67834754,-122.4902899,7,Jul,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,8/1/2021,37.67834754,-122.4902899,8,Aug,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,9/1/2021,37.67834754,-122.4902899,9,Sep,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,10/1/2021,37.67834754,-122.4902899,10,Oct,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,11/1/2021,37.67834754,-122.4902899,11,Nov,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,12/1/2021,37.67834754,-122.4902899,12,Dec,2021,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,,,,=,,,►,"$1,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,,,,=,,►,"$2,862 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,1/1/2022,37.67834754,-122.4902899,1,Jan,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,5.20%,,5.20%,-5.20%,-100.00%,,▼,"$1,565 ",$0 ,$0 ,$0 ,$0 ,"$1,565 ",$0 ,"$1,565 ","($1,565)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,862 ",,,,,"$2,862 ",,"$2,862 ","($2,862)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,2/1/2022,37.67834754,-122.4902899,2,Feb,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,5.20%,,5.20%,-5.20%,-100.00%,,▼,"$1,565 ",$0 ,$0 ,$0 ,$0 ,"$1,565 ",$0 ,"$1,565 ","($1,565)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,862 ",,,,,"$2,862 ",,"$2,862 ","($2,862)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,3/1/2022,37.67834754,-122.4902899,3,Mar,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,5.20%,,5.20%,-5.20%,-100.00%,,▼,"$1,565 ",$0 ,$0 ,$0 ,$0 ,"$1,565 ",$0 ,"$1,565 ","($1,565)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,862 ",,,,,"$2,862 ",,"$2,862 ","($2,862)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,4/1/2022,37.67834754,-122.4902899,4,Apr,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,5.20%,,5.20%,-5.20%,-100.00%,,▼,"$1,565 ",$0 ,$0 ,$0 ,$0 ,"$1,565 ",$0 ,"$1,565 ","($1,565)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,862 ",,,,,"$2,862 ",,"$2,862 ","($2,862)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,5/1/2022,37.67834754,-122.4902899,5,May,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2862,45.30%,,,9.50%,,,,,1564.94,322,"$2,862 ",1297.06,2862,2862,1,5.20%,,,,,5.20%,,5.20%,-5.20%,-100.00%,,▼,"$1,565 ",$0 ,$0 ,$0 ,$0 ,"$1,565 ",$0 ,"$1,565 ","($1,565)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,862 ",,,,,"$2,862 ",,"$2,862 ","($2,862)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,6/1/2022,37.67834754,-122.4902899,6,Jun,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2862,1297.06,2194.2,59.10%,,,7.30%,,,,,897.14,322,"$2,862 ",1297.06,2862,2194.2,1,3.00%,,,,,3.00%,,3.00%,-3.00%,-100.00%,,▼,$897 ,$0 ,$0 ,$0 ,$0 ,$897 ,$0 ,$897 ,($897),-100.00%,▼,77%,0,VERY LOW YIELD,360605,"$1,297 ",,,,,"$1,297 ",,"$1,297 ","($1,297)",-100.00%,▼,"$2,194 ",,,,,"$2,194 ",,"$2,194 ","($2,194)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,7/1/2022,37.67834754,-122.4902899,7,Jul,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,2153.16129,64.60%,,,7.20%,,,,,762.6612903,322,"$3,034 ",1390.5,3034,2153.16129,1,2.50%,,,,,2.50%,,2.50%,-2.50%,-100.00%,,▼,$763 ,$0 ,$0 ,$0 ,$0 ,$763 ,$0 ,$763 ,($763),-100.00%,▼,71%,0,VERY LOW YIELD,360605,"$1,391 ",,,,,"$1,391 ",,"$1,391 ","($1,391)",-100.00%,▼,"$2,153 ",,,,,"$2,153 ",,"$2,153 ","($2,153)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,8/1/2022,37.67834754,-122.4902899,8,Aug,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,3034,45.80%,,,10.10%,,,,,1643.5,322,"$3,034 ",1390.5,3034,3034,1,5.50%,,,,,5.50%,,5.50%,-5.50%,-100.00%,,▼,"$1,644 ",$0 ,$0 ,$0 ,$0 ,"$1,644 ",$0 ,"$1,644 ","($1,644)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,391 ",,,,,"$1,391 ",,"$1,391 ","($1,391)",-100.00%,▼,"$3,034 ",,,,,"$3,034 ",,"$3,034 ","($3,034)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,9/1/2022,37.67834754,-122.4902899,9,Sep,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,3034,45.80%,,,10.10%,,,10.10%,,1643.5,322,"$3,034 ",1390.5,3034,3034,1,5.50%,,,5.50%,,5.50%,,5.50%,-5.50%,-100.00%,,▼,"$1,644 ",$0 ,$0 ,"$1,644 ",$0 ,"$1,644 ",$0 ,"$1,644 ","($1,644)",-100.00%,▼,100%,0,VERY LOW YIELD,360605,"$1,391 ",,,"$1,391 ",,"$1,391 ",,"$1,391 ","($1,391)",-100.00%,▼,"$3,034 ",,,"$3,034 ",,"$3,034 ",,"$3,034 ","($3,034)"
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,10/1/2022,37.67834754,-122.4902899,10,Oct,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,3034,45.80%,,,10.10%,,,,,1643.5,322,"$3,034 ",1390.5,3034,3034,1,5.50%,,,,,,,,=,,,►,"$1,644 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,391 ",,,,,,,,=,,►,"$3,034 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,11/1/2022,37.67834754,-122.4902899,11,Nov,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,3034,45.80%,,,10.10%,,,,,1643.5,322,"$3,034 ",1390.5,3034,3034,1,5.50%,,,,,,,,=,,,►,"$1,644 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,391 ",,,,,,,,=,,►,"$3,034 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,12/1/2022,37.67834754,-122.4902899,12,Dec,2022,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,3034,45.80%,,,10.10%,,,,,1643.5,322,"$3,034 ",1390.5,3034,3034,1,5.50%,,,,,,,,=,,,►,"$1,644 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,360605,"$1,391 ",,,,,,,,=,,►,"$3,034 ",,,,,,,,=
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,1/1/2023,37.67834754,-122.4902899,1,Jan,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3034,1390.5,1370.193548,101.50%,,,4.60%,,,,4.60%,-20.30645161,322,"$3,034 ",1390.5,3034,1370.193548,1,-0.10%,,,,-0.10%,,-0.10%,,-0.10%,,,▼,($20),$0 ,$0 ,$0 ,($20),$0 ,($20),$0 ,($20),,▼,45%,0,VERY LOW YIELD,360605,"$1,391 ",,,,"$1,391 ",,"$1,391 ",,"$1,391 ",,▲,"$1,370 ",,,,"$1,370 ",,"$1,370 ",,"$1,370 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,2/1/2023,37.67834754,-122.4902899,2,Feb,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2245,1042.47,881.9642857,118.20%,,,2.90%,,,,2.90%,-160.5057143,322,"$2,245 ",1042.47,2245,881.9642857,1,-0.50%,,,,-0.50%,,-0.50%,,-0.50%,,,▼,($161),$0 ,$0 ,$0 ,($161),$0 ,($161),$0 ,($161),,▼,39%,0,VERY LOW YIELD,360605,"$1,042 ",,,,"$1,042 ",,"$1,042 ",,"$1,042 ",,▲,$882 ,,,,$882 ,,$882 ,,$882 
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,3/1/2023,37.67834754,-122.4902899,3,Mar,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2245,1042.47,2245,46.40%,,,7.50%,,,,7.50%,1202.53,322,"$2,245 ",1042.47,2245,2245,1,4.00%,,,,4.00%,,4.00%,,4.00%,,,▲,"$1,203 ",$0 ,$0 ,$0 ,"$1,203 ",$0 ,"$1,203 ",$0 ,"$1,203 ",,▲,100%,0,LOW YIELD,360605,"$1,042 ",,,,"$1,042 ",,"$1,042 ",,"$1,042 ",,▲,"$2,245 ",,,,"$2,245 ",,"$2,245 ",,"$2,245 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,4/1/2023,37.67834754,-122.4902899,4,Apr,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2245,1042.47,2245,46.40%,,,7.50%,,,,7.50%,1202.53,322,"$2,245 ",1042.47,2245,2245,1,4.00%,,,,4.00%,,4.00%,,4.00%,,,▲,"$1,203 ",$0 ,$0 ,$0 ,"$1,203 ",$0 ,"$1,203 ",$0 ,"$1,203 ",,▲,100%,0,LOW YIELD,360605,"$1,042 ",,,,"$1,042 ",,"$1,042 ",,"$1,042 ",,▲,"$2,245 ",,,,"$2,245 ",,"$2,245 ",,"$2,245 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,5/1/2023,37.67834754,-122.4902899,5,May,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2245,1042.47,1158.709677,90.00%,,,3.90%,,,,3.90%,116.2396774,322,"$2,245 ",1042.47,2245,1158.709677,1,0.40%,,,,0.40%,,0.40%,,0.40%,,,▲,$116 ,$0 ,$0 ,$0 ,$116 ,$0 ,$116 ,$0 ,$116 ,,▲,52%,0,LOW YIELD,360605,"$1,042 ",,,,"$1,042 ",,"$1,042 ",,"$1,042 ",,▲,"$1,159 ",,,,"$1,159 ",,"$1,159 ",,"$1,159 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,6/1/2023,37.67834754,-122.4902899,6,Jun,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2655,1305.31,2478,52.70%,,,8.20%,,,,8.20%,1172.69,322,"$2,655 ",1305.31,2655,2478,1,3.90%,,,,3.90%,,3.90%,,3.90%,,,▲,"$1,173 ",$0 ,$0 ,$0 ,"$1,173 ",$0 ,"$1,173 ",$0 ,"$1,173 ",,▲,93%,0,LOW YIELD,360605,"$1,305 ",,,,"$1,305 ",,"$1,305 ",,"$1,305 ",,▲,"$2,478 ",,,,"$2,478 ",,"$2,478 ",,"$2,478 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,7/1/2023,37.67834754,-122.4902899,7,Jul,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2655,1305.31,2655,49.20%,,,8.80%,,,,8.80%,1349.69,322,"$2,655 ",1305.31,2655,2655,1,4.50%,,,,4.50%,,4.50%,,4.50%,,,▲,"$1,350 ",$0 ,$0 ,$0 ,"$1,350 ",$0 ,"$1,350 ",$0 ,"$1,350 ",,▲,100%,0,LOW YIELD,360605,"$1,305 ",,,,"$1,305 ",,"$1,305 ",,"$1,305 ",,▲,"$2,655 ",,,,"$2,655 ",,"$2,655 ",,"$2,655 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,8/1/2023,37.67834754,-122.4902899,8,Aug,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,2655,1305.31,2483.709677,52.60%,,52.60%,8.30%,,8.30%,,8.30%,1178.399677,322,"$2,655 ",1305.31,2655,2483.709677,1,3.90%,,3.90%,,3.90%,,3.90%,,3.90%,,,▲,"$1,178 ",$0 ,"$1,178 ",$0 ,"$1,178 ",$0 ,"$1,178 ",$0 ,"$1,178 ",,▲,94%,0,LOW YIELD,360605,"$1,305 ",,"$1,305 ",,"$1,305 ",,"$1,305 ",,"$1,305 ",,▲,"$2,484 ",,"$2,484 ",,"$2,484 ",,"$2,484 ",,"$2,484 "
"Suite 363,  Glen Leslie Alley",Luxurious,1 bathroom,3 bedrooms,Daly City,US,9/1/2023,37.67834754,-122.4902899,9,Sep,2023,Apt-Lux-3 Bed.,"Suite 363,  Glen Leslie Alley",1022,Apartment,94015,3346,1682.74,0,,,,0.00%,0.00%,,,0.00%,-1682.74,322,"$3,346 ",1682.74,3346,0,1,-5.60%,-5.60%,,,-5.60%,,-5.60%,,-5.60%,,,▼,"($1,683)","($1,683)",$0 ,$0 ,"($1,683)",$0 ,"($1,683)",$0 ,"($1,683)",,▼,0%,0,VERY LOW YIELD,360605,"$1,683 ","$1,683 ",,,"$1,683 ",,"$1,683 ",,"$1,683 ",,▲,$0 ,$0 ,,,$0 ,,$0 ,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,3/1/2020,37.74706894,-122.5058475,3,Mar,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,4/1/2020,37.74706894,-122.5058475,4,Apr,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,5/1/2020,37.74706894,-122.5058475,5,May,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,6/1/2020,37.74706894,-122.5058475,6,Jun,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,7/1/2020,37.74706894,-122.5058475,7,Jul,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,8/1/2020,37.74706894,-122.5058475,8,Aug,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,6335,50.10%,,,8.00%,,,,,3162.2,1054,"$6,335 ",3172.8,6335,6335,1,4.00%,,,,,,,,=,,,►,"$3,162 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,100%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$6,335 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,9/1/2020,37.74706894,-122.5058475,9,Sep,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6335,3172.8,4856.833333,65.30%,,,6.20%,,,,,1684.033333,1054,"$6,335 ",3172.8,6335,4856.833333,1,2.10%,,,,,,,,=,,,►,"$1,684 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,77%,0,VERY LOW YIELD,945620,"$3,173 ",,,,,,,,=,,►,"$4,857 ",,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,10/1/2020,37.74706894,-122.5058475,10,Oct,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6202,3112.23,0,,,,0.00%,,,,,-3112.23,1054,"$6,202 ",3112.23,6202,0,1,-3.90%,,,,,,,,=,,,►,"($3,112)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,0%,0,VERY LOW YIELD,945620,"$3,112 ",,,,,,,,=,,►,$0 ,,,,,,,,=
"Suite 413,  Mountain Joseph Bridge",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,11/1/2020,37.74706894,-122.5058475,11,Nov,2020,Apt-Lux-3 Bed.,"Suite 413,  Mountain Joseph Bridge",1277,Apartment,94116,6202,3112.23,0,,,,0.00%,,,,,-3112.23,1054,"$6,202 ",3112.23,6202,0,1,-3.90%,,,,,,,,=,,,►,"($3,112)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,=,,►,0%,0,VERY LOW YIELD,945620,"$3,112 ",,,,,,,,=,,►,$0 ,,,,,,,,=
